Nível;Indicador;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Unidade
10.2;Valor da produção;4536;4604;1423;1235;4486;6138;7144;10404;11501;6721;7878;12281;16959;13778;R$
10.3;Área destinada à colheita;25460;25848;25727;27180;22964;25690;25824;25749;16082;15692;15507;15470;15439;15543;ha
10.4;Área colhida;25460;25848;25727;27180;22959;22690;25786;25733;15915;15067;15428;15466;15439;15539;ha
10.5;Rendimento médio;207;210;68;52;186;233;210;131;212;133;158;260;256;206;kg/ha
11;Chá-da-Índia;;;;;;;;;;;;;;;
11.1;Folha verde;;;;;;;;;;;;;;;
11.1.1;Quantidade produzida;;;;;;;;;;;;;;;t
11.1.2;Valor da produção;;;;;;;;;;;;;;;R$
11.1.3;Área destinada à colheita;;;;;;;;;;;;;;;ha
11.1.4;Área colhida;;;;;;;;;;;;;;;ha
11.1.5;Rendimento médio;;;;;;;;;;;;;;;kg/ha
12;Coco-da-baía;;;;;;;;;;;;;;;
12.1;Quantidade produzida;467080;502364;529464;553759;566531;552836;571516;542217;350868;344782;333734;288192;330445;340941;frutos
12.2;Valor da produção;167462;221656;225116;236571;259137;333889;261650;262112;254549;173876;175878;118793;175967;200097;R$
12.3;Área destinada à colheita;79596;76985;76795;75827;75368;73700;73519;69142;47702;44287;37450;36178;36589;36706;ha
12.4;Área colhida;79596;76985;76795;75822;75353;73697;73488;69114;47638;44287;37450;36173;36539;36706;ha
12.5;Rendimento médio;5868;6525;6894;7303;7518;7501;7777;7845;7365;7785;8911;7967;9044;9288;frutos/ha
13;Dendê;;;;;;;;;;;;;;;
13.1;Cacho de coco;;;;;;;;;;;;;;;
13.1.1;Quantidade produzida;205553;231272;215784;204353;203979;204961;204986;131445;47865;44741;38079;37143;39411;40179;t
13.1.2;Valor da produção;37269;38347;49323;48570;49739;50034;49814;33764;14468;8949;5731;9749;12776;23106;R$
13.1.3;Área destinada à colheita;53517;53726;54662;53943;53773;54031;54018;35642;12633;12767;13165;13060;13057;13062;ha
13.1.4;Área colhida;53517;53726;54662;53943;53773;54031;54018;35642;12633;12767;13165;13060;13057;13062;ha
13.1.5;Rendimento médio;3840;4304;3947;3788;3793;3793;3795;3688;3789;3504;2892;2844;3018;3076;kg/ha
14;Erva-mate;;;;;;;;;;;;;;;
14.1;Folha verde;;;;;;;;;;;;;;;
14.1.1;Quantidade produzida;;;;;;;;;;;;;;;t
14.1.2;Valor da produção;;;;;;;;;;;;;;;R$
14.1.3;Área destinada à colheita;;;;;;;;;;;;;;;ha
14.1.4;Área colhida;;;;;;;;;;;;;;;ha
14.1.5;Rendimento médio;;;;;;;;;;;;;;;kg/ha
15;Figo;;;;;;;;;;;;;;;
15.1;Quantidade produzida;;;;;;;;;;;;;;;t
15.2;Valor da produção;;;;;;;;;;;;;;;R$
15.3;Área destinada à colheita;;;;;;;;;;;;;;;ha
15.4;Área colhida;;;;;;;;;;;;;;;ha
15.5;Rendimento médio;;;;;;;;;;;;;;;kg/ha
16;Goiaba;;;;;;;;;;;;;;;
16.1;Quantidade produzida;14675;14217;15179;8277;9677;19487;27243;31612;42073;61936;50551;43357;46836;50431;t
16.2;Valor da produção;10807;9914;11067;6055;7966;19031;32034;38678;41644;42630;50891;62044;78650;98079;R$
16.3;Área destinada à colheita;834;828;818;607;699;1047;1251;1538;1998;2365;2286;2090;2190;2520;ha
16.4;Área colhida;834;828;818;607;699;1047;1251;1533;1998;2365;2286;2089;2190;2519;ha
16.5;Rendimento médio;17595;17170;18556;13636;13844;18612;21777;20621;21058;26189;22113;20755;21386;20020;kg/ha
17;Guaraná;;;;;;;;;;;;;;;
17.1;Semente;;;;;;;;;;;;;;;
17.1.1;Quantidade produzida;2707;2688;3026;2682;2672;2691;2694;2748;1539;1586;1624;1642;1831;1554;t
17.1.2;Valor da produção;15966;14644;16910;18622;18714;20280;20156;20172;11396;11484;17572;16943;24817;23805;R$
17.1.3;Área destinada à colheita;6634;6659;6799;6669;6669;6719;6736;6788;5846;5608;5603;5538;5600;5538;ha
17.1.4;Área colhida;6634;6659;6799;6669;6669;6719;6736;6788;5846;5608;5603;5538;5600;5538;ha
17.1.5;Rendimento médio;408;403;445;402;401;401;400;405;263;283;290;296;327;281;kg/ha
18;Laranja;;;;;;;;;;;;;;;
18.1;Quantidade produzida;906965;987813;1030763;1036841;994817;1026167;1161187;825283;665986;604023;574211;595442;594184;575226;t
18.2;Valor da produção;260355;296325;325938;323045;331002;311280;328336;300619;271883;309320;297832;317320;353238;387590;R$
18.3;Área destinada à colheita;55755;61148;63303;65129;63199;62303;75990;57622;49828;53595;51018;49332;49767;49476;ha
18.4;Área colhida;55755;61148;63303;65129;63199;62296;75981;57611;49778;50995;51018;48732;49167;48874;ha
18.5;Rendimento médio;16266;16154;16283;15920;15741;16472;15283;14325;13379;11845;11255;12219;12085;11770;kg/ha
19;Limão;;;;;;;;;;;;;;;
19.1;Quantidade produzida;53004;53003;59700;55433;119261;67559;136189;112992;62018;65089;69676;68146;72276;67765;t
19.2;Valor da produção;22242;22151;23777;22973;57638;45620;77096;79705;44838;90648;61590;69460;86750;101809;R$
19.3;Área destinada à colheita;2761;2733;3094;2979;5846;3405;6366;5814;5902;5801;5864;6030;6177;6582;ha
19.4;Área colhida;2761;2733;3094;2979;5711;3405;6366;5714;5829;5801;5864;6030;6177;6582;ha
19.5;Rendimento médio;19197;19393;19295;18608;20883;19841;21393;19775;10640;11220;11882;11301;11701;10296;kg/ha
20;Maçã;;;;;;;;;;;;;;;
20.1;Quantidade produzida;365;415;480;1245;702;870;870;30;;;;;;;t
20.2;Valor da produção;367;405;480;1307;804;1172;1046;38;;;;;;;R$
20.3;Área destinada à colheita;55;55;60;60;47;43;43;15;;;;;;;ha
20.4;Área colhida;55;55;60;60;47;43;43;15;;;;;;;ha
20.5;Rendimento médio;6636;7545;8000;20750;14936;20233;20233;2000;;;;;;;kg/ha
21;Mamão;;;;;;;;;;;;;;;
21.1;Quantidade produzida;891236;910131;928035;683474;718726;794565;741002;615056;368875;337151;390075;367709;400438;316163;t
21.2;Valor da produção;751125;821432;748621;557663;574852;602708;576212;552438;320688;297707;258672;300814;429948;587557;R$
21.3;Área destinada à colheita;15053;15031;15264;11982;12132;12377;11460;15867;9045;9368;9643;9579;10002;9415;ha
21.4;Área colhida;15053;15031;15264;11635;12132;12364;11419;15778;9039;9363;9638;9579;9942;9238;ha
21.5;Rendimento médio;59206;60550;60798;58743;59242;64264;64892;38982;40809;36009;40473;38387;40277;34224;kg/ha
22;Manga;;;;;;;;;;;;;;;
22.1;Quantidade produzida;540158;509676;522471;422763;437919;430594;280342;443689;438603;378362;442233;539089;633151;663814;t
22.2;Valor da produção;285434;214624;227345;182867;242280;284545;172770;297509;424324;422641;652393;877179;1022286;989327;R$
22.3;Área destinada à colheita;28816;28058;26991;25888;25422;25893;21183;23574;23923;24200;24096;29695;31125;32442;ha
22.4;Área colhida;28816;27815;26991;25661;25412;25893;21178;23570;23917;24200;24096;29688;31125;32434;ha
22.5;Rendimento médio;18745;18323;19357;16475;17233;16630;13237;18824;18339;15635;18353;18158;20342;20467;kg/ha
23;Maracujá;;;;;;;;;;;;;;;
23.1;Quantidade produzida;322755;461105;410078;320945;355020;381192;307088;250580;170910;160902;168457;197697;207488;227867;t
23.2;Valor da produção;293059;400353;322072;262494;273771;344212;312557;284236;171611;194825;227731;313035;323572;500993;R$
23.3;Área destinada à colheita;23227;32378;29885;29971;29696;30662;25024;18210;16299;15724;15676;16834;16834;18644;ha
23.4;Área colhida;23227;32378;29885;29938;29695;30657;24930;18178;16283;15660;15616;16832;16816;18574;ha
23.5;Rendimento médio;13895;14241;13721;10720;11956;12434;12318;13785;10496;10275;10787;11745;12339;12268;kg/ha
24;Marmelo;;;;;;;;;;;;;;;
24.1;Quantidade produzida;250;250;50;15;15;15;17;12;17;17;17;17;13;17;t
24.2;Valor da produção;750;400;90;41;41;41;45;38;53;53;53;61;55;72;R$
24.3;Área destinada à colheita;50;50;10;3;3;3;4;4;4;4;4;4;3;4;ha
24.4;Área colhida;50;50;10;3;3;3;4;4;4;4;4;4;3;4;ha
24.5;Rendimento médio;5000;5000;5000;5000;5000;5000;4250;3000;4250;4250;4250;4250;4333;4250;kg/ha
25;Noz;;;;;;;;;;;;;;;
25.1;Fruto seco;;;;;;;;;;;;;;;
25.1.1;Quantidade produzida;;;;;;;;;;;;;;;t
25.1.2;Valor da produção;;;;;;;;;;;;;;;R$
25.1.3;Área destinada à colheita;;;;;;;;;;;;;;;ha
25.1.4;Área colhida;;;;;;;;;;;;;;;ha
25.1.5;Rendimento médio;;;;;;;;;;;;;;;kg/ha
26;Palmito;;;;;;;;;;;;;;;
26.1;Quantidade produzida;21563;20320;20211;26715;26287;27059;29860;27259;8777;7879;7405;7326;8024;7502;t
26.2;Valor da produção;6578;7202;9970;14642;15082;19494;17197;14914;9320;8425;9221;9847;12440;83027;R$
26.3;Área destinada à colheita;3143;2966;3016;4743;4340;4468;4730;4843;3292;3268;3216;3239;3422;3243;ha
26.4;Área colhida;3143;2966;3016;4743;4340;4468;4705;4843;3292;3268;3216;3239;3422;3243;ha
26.5;Rendimento médio;6860;6850;6701;5633;6057;6056;6346;5629;2666;2411;2303;2262;2345;2313;kg/ha
27;Pera;;;;;;;;;;;;;;;
27.1;Quantidade produzida;;;;;;;;;;;;;;;t
27.2;Valor da produção;;;;;;;;;;;;;;;R$
27.3;Área destinada à colheita;;;;;;;;;;;;;;;ha
27.4;Área colhida;;;;;;;;;;;;;;;ha
27.5;Rendimento médio;;;;;;;;;;;;;;;kg/ha
28;Pêssego;;;;;;;;;;;;;;;
28.1;Quantidade produzida;;;;;;;;;;;;;;;t
28.2;Valor da produção;;;;;;;;;;;;;;;R$
28.3;Área destinada à colheita;;;;;;;;;;;;;;;ha
28.4;Área colhida;;;;;;;;;;;;;;;ha
28.5;Rendimento médio;;;;;;;;;;;;;;;kg/ha
29;Pimenta-do-reino;;;;;;;;;;;;;;;
29.1;Quantidade produzida;4004;4521;4011;4008;4049;4467;4696;4916;3792;5870;9691;9268;9022;8289;t
29.2;Valor da produção;14378;15960;18378;20111;19825;36402;55401;130548;51041;53519;56145;88261;115135;91719;R$
29.3;Área destinada à colheita;1728;1756;1814;1732;1762;1836;1847;1950;2261;2762;3069;3035;2973;3042;ha
29.4;Área colhida;1728;1756;1814;1732;1762;1826;1837;1950;2261;2762;3069;3035;2973;3042;ha
29.5;Rendimento médio;2317;2574;2211;2314;2298;2446;2556;2521;1677;2125;3158;3054;3035;2725;kg/ha
30;Sisal ou agave;;;;;;;;;;;;;;;
30.1;Fibra;;;;;;;;;;;;;;;
30.1.1;Quantidade produzida;268823;237397;275008;79578;143122;132078;178375;175931;74841;78490;82041;81124;92961;87924;t
30.1.2;Valor da produção;237295;212540;255838;88898;179998;246275;343661;344052;190469;240863;252203;273924;401141;288813;R$
30.1.3;Área destinada à colheita;260044;252224;275389;248033;235390;195290;191561;193277;94015;90026;93756;93376;94935;93823;ha
30.1.4;Área colhida;260044;252224;275389;237752;168775;150206;191561;193277;79699;90026;93756;93376;94633;93816;ha
30.1.5;Rendimento médio;1033;941;998;335;848;879;931;910;939;872;875;869;982;937;kg/ha
31;Tangerina;;;;;;;;;;;;;;;
31.1;Quantidade produzida;15708;14182;14328;14143;11056;10288;12896;10285;10025;8755;9216;10907;17774;13652;t
31.2;Valor da produção;6308;5813;6096;5597;4726;5221;6582;5431;10554;8423;7436;10241;15511;16631;R$
31.3;Área destinada à colheita;854;761;763;743;782;712;779;795;946;1007;1024;1303;1449;1252;ha
31.4;Área colhida;854;761;763;743;682;712;779;795;946;1006;1024;1303;1449;1252;ha
31.5;Rendimento médio;18393;18636;18778;19035;16211;14449;16555;12937;10597;8703;9000;8371;12266;10904;kg/ha
32;Tungue;;;;;;;;;;;;;;;
32.1;Fruto seco;;;;;;;;;;;;;;;
32.1.1;Quantidade produzida;;;;;;;;;;;;;;;t
32.1.2;Valor da produção;;;;;;;;;;;;;;;R$
32.1.3;Área destinada à colheita;;;;;;;;;;;;;;;ha
32.1.4;Área colhida;;;;;;;;;;;;;;;ha
32.1.5;Rendimento médio;;;;;;;;;;;;;;;kg/ha
33;Urucum;;;;;;;;;;;;;;;
33.1;Semente;;;;;;;;;;;;;;;
33.1.1;Quantidade produzida;949;1016;1149;1140;1469;1681;1762;2211;1572;1982;1874;1743;1783;1832;t
33.1.2;Valor da produção;1212;1304;1661;1493;2099;4091;4225;4819;11836;7743;2860;2371;2797;5211;R$
33.1.3;Área destinada à colheita;1050;1032;1109;1119;1377;1481;1469;1866;2196;2236;1904;1862;1907;1862;ha
33.1.4;Área colhida;1050;1032;1109;1119;1377;1481;1469;1866;2196;2236;1904;1862;1907;1862;ha
33.1.5;Rendimento médio;903;984;1036;1019;1067;1135;1199;1185;716;886;984;936;935;984;kg/ha
34;Uva;;;;;;;;;;;;;;;
34.1;Quantidade produzida;90508;78283;65176;62292;52778;77504;77408;77322;56504;60524;71939;55872;70788;75664;t
34.2;Valor da produção;215430;211579;201118;160779;131895;179390;179874;179724;230255;196558;279596;222807;267012;285431;R$
34.3;Área destinada à colheita;3724;3273;2718;2484;2357;2862;2861;2858;1961;1962;1926;2043;2486;2564;ha
34.4;Área colhida;3724;3273;2718;2484;2357;2862;2861;2858;1960;1962;1926;2043;2486;2564;ha
34.5;Rendimento médio;24303;23917;23979;25077;22392;27080;27056;27055;28829;30848;37352;27348;28475;29510;kg/ha



Fonte: IBGE, Produção Agrícola Municipal 2022. Rio de Janeiro: IBGE, 2023
